Title,channel_title,published_at,category_id,view_count,like_count,comment_count,likes_to_views_ratio,comments_to_views_ratio,duration_seconds
LA PERVERSA X LA INSUPERABLE X ALOFOKE MUSIC X SHADOW BLOW - BANDIDA,AlofokeMusicSounds,2025-11-16 15:34:55+00:00,10,1405647,140463,9063,0.09992757789,0.006447560129,111
Moana | Official Teaser,Disney,2025-11-17 17:00:47+00:00,24,2776847,26801,6684,0.00965159058,0.002407045686,60
$0 - $1 Trillion Only FISHING in Steal a Brainrot..,CaylusBlox,2025-11-17 22:57:14+00:00,20,1189857,16174,1827,0.01359321869,0.001535477343,1082
ALLDAY PROJECT - ‘ONE MORE TIME’ M/V,THEBLACKLABEL,2025-11-17 09:00:07+00:00,10,5319161,245621,12869,0.01173298389,0.002419366058,203
La Lupa | Vendetta Hero Trailer | Overwatch 2,PlayOverwatch,2025-11-17 17:00:06+00:00,20,597542,41742,4728,0.06985606057,0.007912401283,215
I Shouldn’t Have Went Christmas Shopping…,CaseOh,2025-11-17 23:01:11+00:00,20,296652,10565,676,0.0356140002,0.002278756662,4431
Charli xcx - Chains of Love (Official Video),Charli xcx,2025-11-17 17:00:56+00:00,10,333414,33124,1778,0.09934765982,0.00533269349,193
Wake Up Dead Man: A Knives Out Mystery | Official Trailer | Netflix,Netflix,2025-11-17 14:00:00+00:00,24,1925626,34578,1248,0.01795674863,0.0006481005927,123
It's all crashing down..,Asmongold TV,2025-11-18 02:00:35+00:00,20,755718,26231,5285,0.03470999141,0.006993340117,1033
DeeBaby  - Pain Gon Come (  Official Music Video ),Official DeeBabyTV,2025-11-17 19:00:57+00:00,10,92297,4674,306,0.05064031723,0.003315348112,176
Five Nights at Freddy's 2 | Rage,Universal Pictures,2025-11-17 17:01:35+00:00,24,356239,22033,1270,0.06184875365,0.003565012351,33
"Steal A Brainrot, But Everything I Touch Turns OWNER..",KAYE,2025-11-17 22:00:51+00:00,20,306602,5306,2056,0.01730576674,0.006705739996,1046
Fine Chiki,JNR VIGI - Topic,2025-11-07 06:58:26+00:00,10,79628,2581,76,0.03241281443,0.0009544261513,222
IT: Welcome to Derry | Midseason Trailer | HBO Max,HBO Max,2025-11-17 03:00:38+00:00,24,599589,24027,1424,0.04007238279,0.00237495622,94
Friday Night Funkin: The Lost Episode,CoryxKenshin,2025-11-16 20:05:03+00:00,20,2137798,233435,22070,0.1091940823,0.01032370209,2155
KAROL G - PROVENZA (Letra/Lyrics),FirePlay,2025-11-16 14:48:58+00:00,10,234277,406,4,0.001732983891,0.0000171,207
Avatar: Fire and Ash | In Theatres December 19,Avatar,2025-11-18 02:56:47+00:00,24,126113,8433,574,0.06686807174,0.004551437588,60
THE GAME AWARDS 2025 Nominees Revealed!,thegameawards,2025-11-17 17:14:13+00:00,20,781412,43744,6522,0.0559806402,0.008346418603,612
"God, Save Me From Myself (Ashes of Eden)",WizFlow Tunes - Topic,2025-11-14 11:15:54+00:00,10,150998,6224,65,0.04121881602,0.0004304664269,175
The Legend of Zelda - First Trailer (2027) Nintendo | Sony Pictures,Teaser Universe,2025-11-17 15:50:06+00:00,1,62431,712,168,0.011404408,0.002690927729,70
They Made A Fun Slot Even More Fun,Vegas Matt,2025-11-17 16:45:00+00:00,24,274341,11594,1934,0.04226111933,0.007049595031,3872
